38.0 (18.6906,10.3728) (17.0522,8.7664) (17.5695,6.0201)
39.0 (18.9111,10.4788) (17.2553,8.8950) (17.7966,6.1022)
40.0 (19.1311,10.5852) (17.4579,9.0248) (18.0233,6.1850)
41.0 (19.3507,10.6921) (17.6599,9.1558) (18.2496,6.2687)
42.0 (19.5699,10.7994) (17.8614,9.2878) (18.4753,6.3532)
43.0 (19.7886,10.9072) (18.0623,9.4208) (18.7005,6.4384)
44.0 (20.0069,11.0154) (18.2824,9.5146) (18.9351,6.5041)
45.0 (20.2247,11.1243) (18.5021,9.6089) (19.1694,6.5701)
46.0 (20.4418,11.2341) (18.7215,9.7036) (19.4034,6.6366)
47.0 (20.6583,11.3447) (18.9405,9.7988) (19.6373,6.7034)
48.0 (20.8740,11.4560) (19.1592,9.8945) (19.8709,6.7705)
49.0 (21.0905,11.5657) (19.3787,9.9894) (20.1043,6.8381)
50.0 (21.3049,11.6787) (19.5967,10.0859) (20.3374,6.9060)
51.0 (21.5136,11.7936) (19.8145,10.1827) (20.5703,6.9743)
52.0 (21.7198,11.9090) (20.0319,10.2797) (20.8028,7.0430)
53.0 (21.7049,11.9606) (20.2492,10.3770) (21.0348,7.1123)
54.0 (21.6974,12.0564) (20.4687,10.4712) (21.2664,7.1821)
55.0 (21.7068,12.1819) (20.6898,10.5623) (21.4974,7.2524)
56.0 (21.7167,12.3070) (20.9121,10.6507) (21.7279,7.3233)
57.0 (21.7110,12.3367) (21.1267,10.7603) (21.9493,7.4097)
58.0 (21.7012,12.4185) (21.3509,10.8439) (22.1787,7.4819)
59.0 (21.6906,12.4955) (21.5756,10.9264) (22.4074,7.5546)
60.0 (21.6793,12.5687) (21.8007,11.0077) (22.6356,7.6281)
61.0 (21.6673,12.6386) (22.0261,11.0885) (22.8630,7.7022)
62.0 (21.6547,12.7070) (22.2492,11.1709) (23.0897,7.7770)
63.0 (21.6419,12.7769) (22.4722,11.2536) (23.3154,7.8526)
64.0 (21.6297,12.8528) (22.6947,11.3369) (23.5400,7.9289)
65.0 (21.6199,12.9415) (22.9125,11.4253) (23.7637,8.0059)
66.0 (21.6174,13.0519) (23.1293,11.5133) (23.9862,8.0838)
67.0 (21.6323,13.1903) (23.3460,11.6013) (24.2076,8.1624)
68.0 (21.6728,13.3527) (23.5668,11.6741) (24.4278,8.2418)
69.0 (21.6884,13.4958) (23.7864,11.7388) (24.6469,8.3220)
70.0 (21.6926,13.6277) (24.0024,11.7769) (24.8647,8.4030)
71.0 (21.6869,13.7470) (24.2148,11.7836) (25.0813,8.4848)
72.0 (21.6811,13.7993) (24.5042,11.7907) (25.2965,8.5676)
73.0 (21.6776,13.8136) (24.7263,11.8704) (25.5102,8.6514)
74.0 (21.6737,13.8304) (24.9449,11.9538) (25.7224,8.7363)
75.0 (21.6693,13.8505) (25.1664,12.0323) (25.9329,8.8224)
76.0 (21.6645,13.8752) (25.3866,12.1117) (26.1416,8.9097)
77.0 (21.6592,13.9065) (25.6054,12.1921) (26.3486,8.9983)
78.0 (21.6539,13.9469) (25.8228,12.2734) (26.5538,9.0880)
79.0 (21.6499,14.0004) (26.0386,12.3557) (26.7573,9.1792)
80.0 (21.6499,14.0717) (26.2527,12.4393) (26.9588,9.2718)
81.0 (21.6592,14.1650) (26.4650,12.5241) (27.1585,9.3658)
82.0 (21.6830,14.2795) (26.6753,12.6103) (27.3563,9.4612)
83.0 (21.6930,14.3743) (26.8835,12.6980) (27.5521,9.5580)
84.0 (21.6995,14.4629) (27.0897,12.7871) (27.7460,9.6562)
85.0 (21.7014,14.5406) (27.2937,12.8778) (27.9379,9.7558)
86.0 (21.6996,14.6074) (27.4956,12.9701) (28.1273,9.8568)
87.0 (21.6958,14.6653) (27.6953,13.0642) (28.3140,9.9592)
88.0 (21.6910,14.7170) (27.8927,13.1599) (28.4983,10.0631)
89.0 (21.6857,14.7653) (28.0878,13.2572) (28.6799,10.1685)
90.0 (21.6841,14.7714) (28.2807,13.3561) (28.8588,10.2754)
91.0 (21.6824,14.7782) (28.4707,13.4567) (29.0350,10.3838)
